frecuencia (rad/s),magnitud (dB),fase (grados)
1.0,-61.535530520615865,116.02051960858627
1.0155211276345681,-61.922273405377496,115.64194765480562
1.0312831606721848,-62.309420535382536,115.26836234372735
1.0472898382363585,-62.696961735496814,114.89971918312548
1.0635449574860112,-63.08488703153194,114.53597321721277
1.080052374516253,-63.473186649262594,114.1770790671985
1.096816005273138,-63.8618510132665,113.82299097077235
1.1138398264826195,-64.25087074559795,113.47366282049765
1.1311278765939214,-64.64023666430545,113.12904820110064
1.1486842567375537,-65.02993978180427,112.78910042564668
1.1665131316981963,-65.41997130311367,112.45377257059658
1.1846187309026837,-65.81032262396889,112.12301750974095
1.2030053494233244,-66.20098532881741,111.79678794701111
1.221677348996792,-66.59195118870882,111.4750364481704
1.240639159058832,-66.98321215908705,111.15771547138996
1.2598952777950274,-67.37476037749386,110.84477739671671
1.2794502732078736,-67.7665881611915,110.53617455444281
1.299308784200416,-68.15868800471294,110.23185925238816
1.3194755216767062,-68.5510525773469,109.93178380210861
1.3399552696593386,-68.94367472056514,109.63590054404506
1.3607528864243335,-69.3365474453992,109.34416187162925
1.3818733056536323,-69.72966392977273,109.05652025436378
1.403321537605485,-70.12301751579608,108.77292825989474
1.425102670302998,-70.51660170702927,108.49333857509669
1.4472218707411348,-70.91041016571866,108.2177040261901
1.4696843861124462,-71.30443671001296,107.94597759791276
1.4924955450518296,-71.69867531116363,107.67811245176648
1.5156607589006033,-72.09312009071441,107.41406194336183
1.5391855229902058,-72.48776531768462,107.15377963888321
1.5630754179458164,-72.88260540575043,106.89721933069767
1.587336111010209,-73.27763491042784,106.64433505213057
1.6119733573881576,-73.67284852626165,106.39508109143162
1.6369930016117025,-74.06824108402327,106.14941200495478
1.6624009789266123,-74.4638075479211,105.90728262957575
1.6882033167003634,-74.85954301282618,105.66864809437045
1.7144061358519709,-75.25544270151607,105.433463831578
1.7410156523040161,-75.65150196193949,105.20168558687148
1.7680381784572075,-76.047716264504,104.97326942895971
1.7954801246878311,-76.44408119938922,104.74817175854255
1.823348000868441,-76.84059247388704,104.52634931664278
1.8516484179121548,-77.23724590977129,104.3077591923364
1.8803880893409155,-77.63403744069794,104.09235882990374
1.9095738328780973,-78.03096310963782,103.88010603542249
1.9392125720658298,-78.42801906634278,103.67095898282398
1.9693113379074225,-78.82520156484678,103.46487621943373
1.9998772705352859,-79.2225069610029,103.26181667101625
2.0309176209047357,-79.61993171005717,103.06173964634402
2.0624397525140914,-80.01747236426002,102.86460484131028
2.0944511431514696,-80.41512557051612,102.67037234260442
2.1269593866686907,-80.81288806807329,102.47900263096844
2.159972194782718,-81.21075668625056,102.29045658405255
2.193497398905059,-81.60872834220653,102.10469547888741
2.2275429519995575,-82.00680003874743,101.92168099398997
2.262116930469025,-82.40496886217592,101.74137521111948
2.2972275360711523,-82.80323198018033,101.56374061669979
2.332883097864157,-83.20158663976449,101.38874010292331
2.369092074182633,-83.60003016521814,101.21633696855199
2.405863054644066,-83.99855995612823,101.0464949194296
2.4432047621864883,-84.39717348543029,100.87917806871963
2.481126055137769,-84.79586829750048,100.71435093688248
2.519635929317015,-85.19464200628754,100.55197845140502
2.558743520168588,-85.59349229348472,100.39202594629523
2.598458104929249,-85.99241690674121,100.23445916135454
2.6387891048289336,-86.39141365791288,100.0792442412391
2.6797460873256913,-86.79048042135172,99.92634773432214
2.7213387683753076,-87.18961513223397,99.77573659136787
2.763577014736159,-87.58881578492611,99.62737816402769
2.806470846309838,-87.98808043138854,99.48124020316894
2.850030438518107,-88.38740717961625,99.33729085704606
2.8942661247167507,-88.78679419211615,99.19549866932323
2.9391883986468863,-89.18623968442063,99.05583257695803
2.9848079169243267,-89.58574192363639,98.91826190795439
3.0311355015675785,-89.98529922702845,98.78275637899333
3.0781821425650793,-90.38490996063872,98.64928609294947
3.1259590004822804,-90.7845725379382,98.51782153630096
3.1744774091091927,-91.18428541851262,98.3883335764402
3.2237488781490296,-91.58404710678087,98.26079345889218
3.2737850959485764,-91.98385615074541,98.13517280444749
3.3245979322709407,-92.3837111407743,98.01144360621603
3.376199441111339,-92.78361070841424,97.88957822660804
3.428601863556586,-93.18355352523376,97.76954939424776
3.4818176306889654,-93.58353830169636,97.65133020082588
3.5358593665351785,-93.98356378606272,97.53489409789566
3.590739891061054,-94.3836287633213,97.42021489361825
3.646472223212748,-94.78373205414724,97.30726674946156
3.70306958400514,-95.18387251388823,97.19602417685806
3.760545399658171,-95.58404903157752,97.08646203382507
3.8189133047818533,-95.98426052897284,96.97855552155238
3.8781871456107226,-96.38450595962101,96.87228018096103
3.938380983288488,-96.78478430794769,96.76761188923687
3.9995090972036653,-97.18509458837148,96.66452685634283
4.061585988376979,-97.58543584444195,96.56300162151301
4.1246263829013525,-97.98580714800104,96.4630130497321
4.188645235435271,-98.38620759836732,96.36453832820322
4.253657732750387,-98.78663632154245,96.26755496280683
4.319679297334174,-99.1870924694393,96.17204077455379
4.386725591048498,-99.58757521913142,96.07797389603516
4.454812518844989,-99.98808377212326,95.98533276787103
4.523956232538054,-100.38861735364026,95.89409613516095
4.594173134636477,-100.78917521193901,95.80424304393802
4.6654798822344725,-101.1897566176363,95.71575283762881
4.737893390963144,-101.59036086305721,95.62860515352132
4.811430839003259,-101.99098726160102,95.54277991924207
4.886109671160326,-102.39163514712529,95.4582573492452
4.961947603002903,-102.792303873347,95.37501794131416
5.0389626250651505,-103.19299281326083,95.29304247307832
5.117173007114605,-103.5937013585736,95.21231199854543
5.196597302486198,-103.99442891915483,95.13280784465155
5.277254352483538,-104.39517492250302,95.05451160782965
5.359163290848515,-104.79593881322694,94.97740515059822
5.442343548300267,-105.19672005254182,94.90147059817052
5.526814857144603,-105.59751811777979,94.82669033508616
5.612597255954972,-105.99833250191452,94.75304700186545
5.699711094326076,-106.39916271309932,94.68052349168774
5.788177037701274,-106.80000827421857,94.60910294709423
5.878016072274912,-107.20086872245211,94.53876875671635
5.969249509970735,-107.60174360885209,94.46950455203034
6.061898993497573,-108.00263249793204,94.40129420413835
6.155986501483509,-108.4035349672679,94.33412182057724
6.251534353689713,-108.80445060711054,94.26797174215487
6.348565216305219,-109.20537902000947,94.20282853981523
6.447102107323871,-109.60631982044768,94.13867701153198
6.547168402004738,-110.00727263448678,94.07550217923148
6.648787838417265,-110.40823709942268,94.01328928574532
6.751984523072503,-110.80921286345139,93.95202379179271
6.85678293664174,-111.21019958534434,93.8916913729931
6.963207939763885,-111.61119693413329,93.83227791690912
7.0712847789429985,-112.01220458880456,93.77376952012027
7.181039092537351,-112.41322223800208,93.71615248532724
7.292496916841446,-112.81424957973914,93.65941331848737
7.405684692262437,-113.21528632111878,93.60353872598091
7.520629269592409,-113.61633217806218,93.54851561180868
7.637357916378021,-114.01738687504516,93.49433107482072
7.755898323389004,-114.41845014484241,93.44097240597628
7.876278611187057,-114.81952172827923,93.38842708563514
7.99852733679671,-115.22060137399072,93.33668278087994
8.122673500479713,-115.62168883818782,93.28572734287002
8.248746552614584,-116.02278388443055,93.23554880422614
8.376776400682918,-116.4238862834078,93.1861353764466
8.506793416364156,-116.82499581272356,93.13747544735416
8.638828442740447,-117.22611225668982,93.089557578574
8.77291280161336,-117.62723540612505,93.04237050304246
8.909078300934137,-118.02836505815927,92.9959031225464
9.047357242349298,-118.42950101604445,92.95014450529332
9.187782428863335,-118.83064308897079,92.90508388351162
9.330387172620366,-119.23179109188828,92.86071065108123
9.475205302806543,-119.63294484533375,92.81701436119431
9.62227117367514,-120.03410417526295,92.77398472404569
9.771619672696177,-120.4352689128877,92.73161160455318
9.92328622883255,-120.83643889451767,92.68988502010714
10.077306820944612,-121.23761396140739,92.6487951383495
10.233717986325198,-121.63879395960713,92.60833227498172
10.392556829367125,-122.03997873981879,92.56848689160158
10.553861030365235,-122.44116815725593,92.52924959356858
10.71766885445503,-122.84236207150776,92.49061112789762
10.88401916069006,-123.24356034640752,92.45256238118102
11.052951411260215,-123.64476284990461,92.41509437753804
